pet_id,color,sex,age,size,hair_length,special_needs_p,purebred_p,shots_current_p,housetrained_p,declawed_p,good_with_kids_p,good_with_dogs_p,good_with_cats_p,spayed_neutered_p
5164723,White - with Black,m,adult,Med. 26-60 lbs (12-27 kg),,f,t,f,f,,,,,f
5355150,Tricolor (Tan/Brown & Black & White),m,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,,f,t,t,t
5366981,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,f,f,f,t
5542199,"White - with Tan, Yellow or Fawn",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,f,t,t,,t
5542203,"White - with Tan, Yellow or Fawn",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,f,t,t,,t
5575620,"Black - with Brown, Red, Golden, Orange or Chestnut",f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,f,,t
5616003,Tricolor (Tan/Brown & Black & White),f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,,,t,t,,t
5747887,Silver & Tan (Yorkie colors),m,puppy,Small 25 lbs (11 kg) or less,,f,f,t,t,,t,t,t,t
5747888,Tricolor (Tan/Brown & Black & White),m,young,Small 25 lbs (11 kg) or less,,f,f,t,f,,,,,t
6075871,Black - with White,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,,,t
6158189,Red/Golden/Orange/Chestnut - with White,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,,,t,t,,t
6206950,"Black - with Brown, Red, Golden, Orange or Chestnut",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,,t
6254217,Black - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,f,,f,t
6262294,Tan/Yellow/Fawn - with Black,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,,,t
6281567,Tan/Yellow/Fawn,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
6309650,Black,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
6342082,Brindle - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,,t
6388238,Tan/Yellow/Fawn,m,,,,f,f,,,,,,,
6388240,Tan/Yellow/Fawn,m,,,,f,f,,,,,,,
6454393,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
6496623,Red/Golden/Orange/Chestnut - with White,m,adult,Med. 26-60 lbs (12-27 kg),,t,f,f,f,,,t,,f
6517555,Brindle - with White,f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,f,,,f,t
6523641,,f,adult,Med. 26-60 lbs (12-27 kg),,f,,t,f,f,f,t,t,t
6553419,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,t,t
6604619,Brown/Chocolate - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,,t,t
6610084,,f,adult,Small 25 lbs (11 kg) or less,,f,f,t,,f,,t,t,t
6610089,,f,senior,Med. 26-60 lbs (12-27 kg),,t,f,t,f,f,f,,t,t
6610096,,f,senior,Large 61-100 lbs (28-45 kg),,f,f,t,,,,t,,t
6629134,Brindle,m,adult,Med. 26-60 lbs (12-27 kg),,f,t,t,f,,,,,t
6630390,Tricolor (Tan/Brown & Black & White),f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
6658223,"Black - with Tan, Yellow or Fawn",f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,t,,t
6658694,Black,f,adult,Med. 26-60 lbs (12-27 kg),,t,f,t,f,,,,,t
6688020,Black - with White,m,adult,Small 25 lbs (11 kg) or less,,f,f,t,f,f,t,t,,t
6809971,White - with Black,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,,t
6898293,White - with Brown or Chocolate,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,,,t
6900712,White - with Brown or Chocolate,f,adult,Large 61-100 lbs (28-45 kg),,f,t,t,f,,,,,t
6942899,,m,senior,Large 61-100 lbs (28-45 kg),,f,f,t,,,,,,t
6976522,Black,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,,,t
6993138,"Black - with Tan, Yellow or Fawn",f,adult,Small 25 lbs (11 kg) or less,,f,f,t,f,,,,,t
6997678,Tricolor (Tan/Brown & Black & White),f,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,,f,,f,f,t
7019610,Brindle,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
7019767,,m,adult,,,f,t,,,,,,,t
7048101,Black - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,,f,t
7059206,Brindle - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,f,t
7079465,Brindle,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,,,,,,t
7125878,Black - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,t,,t
7134570,,f,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,f,f,t
7137462,"White - with Tan, Yellow or Fawn",f,senior,Large 61-100 lbs (28-45 kg),,f,f,,t,,f,f,f,t
7137534,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,,t,,f,f,f,t
7141854,Tan/Yellow/Fawn,f,young,Large 61-100 lbs (28-45 kg),,f,f,t,t,,,t,,t
7155815,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,t,,t
7156026,White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
7159521,Brindle,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
7199739,Tan/Yellow/Fawn - with White,f,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,,f,t,t,,t
7233825,"Black - with Tan, Yellow or Fawn",m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,,,,,t
7272878,,f,adult,Small 25 lbs (11 kg) or less,,f,t,t,,,,,,t
7277208,Black - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,f,t
7423981,Tan/Yellow/Fawn,m,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,,t
7454550,,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,,,,,t
7463371,Black - with White,m,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,f,t,,t
7465388,,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,,,,,,t
7563817,Tan/Yellow/Fawn,f,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,f,f,t
7570959,Red/Golden/Orange/Chestnut,m,senior,Large 61-100 lbs (28-45 kg),,f,t,t,f,,,t,,t
7592560,Red/Golden/Orange/Chestnut,f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,,,,t
7599397,Brindle - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,,t
7603176,Brown/Chocolate - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,,,t
7710997,Brown/Chocolate - with Black,m,young,Large 61-100 lbs (28-45 kg),,t,f,t,f,,f,,f,t
7729970,Red/Golden/Orange/Chestnut - with White,f,senior,Med. 26-60 lbs (12-27 kg),,f,t,t,f,,f,t,f,t
7742483,Tricolor (Tan/Brown & Black & White),m,puppy,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
7770786,"White - with Red, Golden, Orange or Chestnut",f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,t,t
7800184,White,f,adult,Large 61-100 lbs (28-45 kg),,f,t,t,t,f,t,t,t,t
7819240,Tan/Yellow/Fawn,f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,,,t,t,t,
7910901,Brown/Chocolate - with White,f,adult,Med. 26-60 lbs (12-27 kg),,t,f,t,t,f,t,f,f,t
7996659,Tricolor (Tan/Brown & Black & White),f,adult,Small 25 lbs (11 kg) or less,,f,f,t,f,,f,t,,t
8028542,"White - with Tan, Yellow or Fawn",m,adult,Large 61-100 lbs (28-45 kg),,f,t,t,f,,,t,f,t
8029179,Tan/Yellow/Fawn - with White,f,adult,Small 25 lbs (11 kg) or less,,f,f,t,f,f,f,t,t,t
8041660,Black,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,t,,t
8142376,Gray/Blue/Silver/Salt & Pepper,f,adult,Large 61-100 lbs (28-45 kg),,f,t,t,t,,t,t,,t
8178568,Red/Golden/Orange/Chestnut,m,young,Small 25 lbs (11 kg) or less,,f,f,t,t,,t,t,,t
8241452,"Black - with Tan, Yellow or Fawn",f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,,f,t,t,t,t
8254087,,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,,,,,,t
8271411,Brindle,m,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
8280731,,m,young,Small 25 lbs (11 kg) or less,,f,t,t,t,,f,,,t
8306208,Tricolor (Tan/Brown & Black & White),m,puppy,Small 25 lbs (11 kg) or less,,f,f,t,f,,t,t,,t
8316380,Brown/Chocolate - with Tan,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,f,t
8332961,"Black - with Tan, Yellow or Fawn",m,adult,Large 61-100 lbs (28-45 kg),,f,t,t,t,,t,f,f,t
8363140,,f,adult,,,f,t,t,,,f,f,f,t
8391028,Tan/Yellow/Fawn,m,young,Med. 26-60 lbs (12-27 kg),,f,f,f,f,,t,t,t,f
8399726,"Black - with Brown, Red, Golden, Orange or Chestnut",f,adult,Small 25 lbs (11 kg) or less,,t,f,t,t,,,,,f
8400530,Tan/Yellow/Fawn,f,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,f,t,t,t,t
8419976,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,t,t,f,,t,t,t,t
8429116,,f,,,,f,f,,,,,,,t
8429404,,,,,,f,f,,,,,,,
8435786,Black - with White,f,young,Large 61-100 lbs (28-45 kg),,f,f,t,f,,t,t,,t
8435801,Tan/Yellow/Fawn,m,young,Large 61-100 lbs (28-45 kg),,t,f,t,f,,,t,,t
8452083,Black - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
8467053,White - with Black,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,,,t
8528800,Tan/Yellow/Fawn - with Black,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
8532616,Red/Golden/Orange/Chestnut - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,,,,,t
8536384,Red/Golden/Orange/Chestnut,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,,t
8538715,"Black - with Tan, Yellow or Fawn",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,f,t,t,,t
8538721,"Black - with Tan, Yellow or Fawn",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,f,t,t,,t
8538725,"Black - with Tan, Yellow or Fawn",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,f,t,t,,t
8538732,"Black - with Tan, Yellow or Fawn",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,f,t,t,,t
8551164,Tan/Yellow/Fawn - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,t,t
8573345,Tan/Yellow/Fawn - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,f,t
8577730,White - with Brown or Chocolate,m,adult,Med. 26-60 lbs (12-27 kg),,f,t,t,t,,t,t,t,t
8585277,Black - with White,m,senior,Med. 26-60 lbs (12-27 kg),,f,t,t,t,,f,t,,t
8606738,Red/Golden/Orange/Chestnut,f,adult,Small 25 lbs (11 kg) or less,,f,t,t,t,,f,t,t,t
8633595,Black - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,,t
8675656,Brindle,m,senior,Small 25 lbs (11 kg) or less,,f,t,t,f,f,f,t,,t
8703666,Merle,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,f,t,t,t
8703819,Tan/Yellow/Fawn - with White,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,t,f,t
8703955,White - with Brown or Chocolate,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,t,f,t
8704191,Brown/Chocolate - with Black,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,t,f,t
8704203,Tricolor (Tan/Brown & Black & White),f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,t,f,t
8704398,"Black - with Tan, Yellow or Fawn",f,adult,Small 25 lbs (11 kg) or less,,t,f,t,t,f,,,t,t
8710751,Tan/Yellow/Fawn,f,young,Small 25 lbs (11 kg) or less,,f,f,t,f,,,,,t
8718147,Tan/Yellow/Fawn - with White,m,puppy,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,f,t,t,t
8722401,Gray/Silver/Salt & Pepper - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,t,t,f,,t,f,f,t
8725594,Brindle - with White,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
8726211,Black,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,f,,,,t
8803511,Black,f,young,Large 61-100 lbs (28-45 kg),,f,f,t,,,,,,t
8812713,Tricolor (Tan/Brown & Black & White),f,adult,Small 25 lbs (11 kg) or less,,f,t,t,f,,,,,t
8844559,Tan/Yellow/Fawn,f,adult,Large 61-100 lbs (28-45 kg),,f,f,,t,,t,f,f,t
8858342,White - with Gray or Silver,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,f,f,f,f,t
8863191,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,t,,t
8873273,"Black - with Tan, Yellow or Fawn",f,senior,Med. 26-60 lbs (12-27 kg),,f,t,t,t,,,t,,t
8874398,Gray/Silver/Salt & Pepper - with White,f,adult,Med. 26-60 lbs (12-27 kg),,t,f,f,t,,f,,,t
8882070,Brown/Chocolate - with Black,f,young,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,t,f,t
8892169,Tricolor (Tan/Brown & Black & White),f,adult,Med. 26-60 lbs (12-27 kg),,f,f,,,,,t,,t
8892170,Tricolor (Tan/Brown & Black & White),f,adult,Med. 26-60 lbs (12-27 kg),,f,f,,,,,t,,t
8892577,Gray/Silver/Salt & Pepper - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,,,t
8905456,Red/Golden/Orange/Chestnut - with White,m,adult,Med. 26-60 lbs (12-27 kg),,t,f,t,t,,f,,t,t
8912267,Brown/Chocolate - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,f,,t
8927994,Red/Golden/Orange/Chestnut - with White,f,senior,Small 25 lbs (11 kg) or less,,f,t,t,f,,,,,t
8937882,Silver & Tan (Yorkie colors),m,adult,Small 25 lbs (11 kg) or less,,f,t,t,f,,f,t,t,t
8944569,"Black - with Tan, Yellow or Fawn",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,f,t,t,,t
8974098,Brown/Chocolate - with White,f,senior,Large 61-100 lbs (28-45 kg),,f,f,t,t,f,t,f,f,t
9014185,Gray/Blue/Silver/Salt & Pepper,m,adult,Small 25 lbs (11 kg) or less,,t,f,t,t,,t,t,t,t
9034258,White - with Black,f,adult,Large 61-100 lbs (28-45 kg),,f,f,,,,,,,t
9034260,White - with Black,f,young,Small 25 lbs (11 kg) or less,,f,f,,,,,,,t
9034538,"Black - with Tan, Yellow or Fawn",f,adult,Med. 26-60 lbs (12-27 kg),,f,f,,,,,,,t
9042367,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,t,f,t,f,,f,t,t,t
9068953,Tan/Yellow/Fawn - with White,m,adult,Small 25 lbs (11 kg) or less,,f,t,t,t,,f,,,t
9103235,Black,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
9107523,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,,,t
9108480,Tan/Yellow/Fawn - with Black,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,f,t,t,t
9128303,Brown/Chocolate,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,,,,,t
9141305,Brindle - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
9162691,Black - with White,f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,,,,,t
9191369,Brown/Chocolate,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,t,,t
9275996,White,m,adult,Med. 26-60 lbs (12-27 kg),,f,t,t,f,,t,t,f,t
9295844,Red/Golden/Orange/Chestnut,f,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,,t,t,f,t
9305774,Tan/Yellow/Fawn,f,senior,Large 61-100 lbs (28-45 kg),,t,t,t,t,,f,t,,t
9323623,Black,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
9351901,Black - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
9419398,Black,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,,t
9420013,Brindle - with White,m,young,Large 61-100 lbs (28-45 kg),,f,t,t,t,,t,t,,t
9420636,Red/Golden/Orange/Chestnut - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
9458314,Brown/Chocolate - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,f,f,t
9506031,Red/Golden/Orange/Chestnut - with White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,f,f,t
9544038,White,f,adult,Med. 26-60 lbs (12-27 kg),,t,f,t,t,f,t,t,f,t
9548495,Red/Golden/Orange/Chestnut - with White,f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,f,,,,t
9600573,Black - with White,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,t,t
9626848,,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,f,,t,,t
9629244,"Black - with Tan, Yellow or Fawn",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,,t
9629253,"White - with Tan, Yellow or Fawn",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
9629256,"White - with Tan, Yellow or Fawn",m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
9681107,Tricolor (Tan/Brown & Black & White),m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,t,t
9681195,Gray/Blue/Silver/Salt & Pepper,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,t,t
9709302,Brindle - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
9713961,White - with Brown or Chocolate,m,adult,Large 61-100 lbs (28-45 kg),,f,t,t,t,f,t,t,t,t
9725716,Black - with White,m,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,,,,,,t
9726785,"Black - with Tan, Yellow or Fawn",f,senior,Med. 26-60 lbs (12-27 kg),,f,t,t,t,,,t,,t
9740738,Red/Golden/Orange/Chestnut - with White,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,,t,f,t
9772372,Red/Golden/Orange/Chestnut,m,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,,,t,t,t
9789599,"Black - with Tan, Yellow or Fawn",f,adult,Small 25 lbs (11 kg) or less,,f,f,t,,f,,t,t,t
9789627,"Black - with Tan, Yellow or Fawn",f,adult,Small 25 lbs (11 kg) or less,,f,f,t,,f,,t,t,t
9789696,"Black - with Tan, Yellow or Fawn",f,adult,Small 25 lbs (11 kg) or less,,f,f,t,,f,,t,t,t
9789731,"Black - with Tan, Yellow or Fawn",f,adult,Small 25 lbs (11 kg) or less,,f,f,t,,f,,t,t,t
9843148,"White - with Tan, Yellow or Fawn",m,young,Med. 26-60 lbs (12-27 kg),,f,f,,t,f,t,t,t,t
9867551,Red/Golden/Orange/Chestnut,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,f,t,,t
9867669,"Black - with Tan, Yellow or Fawn",f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,f,t,,t
9867726,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,f,t,,t
9873266,"White - with Tan, Yellow or Fawn",f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
